data_hora,local,magnitude,profundidade_km,longitude,latitude,nivel
2024-12-21 16:29:52.454,"9 km ENE of Paravóla, Greece",5.0,10.0,21.6089,38.6595,leve
2024-12-21 15:30:53.399,"33 km W of Port-Vila, Vanuatu",6.1,47.0,168.0033,-17.7041,forte
2024-12-21 09:20:30.911,"105 km ESE of Fangale’ounga, Tonga",5.0,10.0,-173.3758,-20.0707,leve
2024-12-20 22:29:02.221,"60 km WNW of Jumla, Nepal",5.0,10.0,81.6099,29.4923,leve
2024-12-20 19:26:14.415,"183 km SW of Tual, Indonesia",5.0,10.0,131.8226,-6.9992,leve
2024-12-20 18:22:39.340,"82 km W of Labuan, Indonesia",5.0,54.956,105.0901,-6.4479,leve
2024-12-20 14:33:08.570,"122 km SSE of Lata, Solomon Islands",5.4,25.974,166.1011,-11.79,leve
2024-12-20 14:10:42.216,"123 km SSE of Lata, Solomon Islands",5.0,13.051,166.1893,-11.7728,leve
2024-12-19 20:30:06.829,West Chile Rise,5.3,10.0,-86.6059,-41.0907,leve
2024-12-19 19:22:19.211,"121 km ESE of San Policarpo, Philippines",5.1,10.0,126.6021,11.9512,leve
2024-12-19 18:36:13.426,"103 km SW of Isangel, Vanuatu",5.1,10.0,168.5242,-20.1481,leve
2024-12-19 06:55:00.503,"78 km W of Cabittaogan, Philippines",5.1,10.0,119.6247,17.6226,leve
2024-12-19 06:42:24.830,"88 km W of Cabittaogan, Philippines",5.1,10.0,119.5289,17.6019,leve
2024-12-19 02:07:02.512,west of Macquarie Island,5.7,10.0,147.3332,-56.2848,leve
2024-12-19 01:09:51.222,"83 km W of Cabittaogan, Philippines",5.1,10.0,119.5738,17.608,leve
2024-12-18 20:12:51.935,South Sandwich Islands region,5.0,10.0,-26.5165,-60.539,leve
2024-12-18 17:53:26.610,"33 km WNW of Port-Vila, Vanuatu",5.2,68.659,167.9999,-17.6764,leve
2024-12-18 09:08:54.328,southeast of Easter Island,5.2,10.0,-102.102,-35.9333,leve
2024-12-18 04:09:12.942,"13 km W of Pozo Almonte, Chile",5.2,59.258,-69.9153,-20.2333,leve
2024-12-18 00:29:08.951,northern Mid-Atlantic Ridge,5.1,10.0,-38.58,33.5889,leve
2024-12-17 22:10:40.305,"252 km E of Levuka, Fiji",5.6,549.327,-178.2957,-18.1662,leve
2024-12-17 21:41:09.942,Banda Sea,5.2,128.765,130.2227,-6.7821,leve
2024-12-17 18:17:23.998,"18 km W of Port-Vila, Vanuatu",5.5,46.0,168.1418,-17.7053,leve
2024-12-17 17:52:10.245,southeast Indian Ridge,5.2,10.0,104.6186,-48.1765,leve
2024-12-17 11:05:37.249,"190 km SE of Pondaguitan, Philippines",5.0,138.792,127.4188,5.1686,leve
2024-12-17 10:49:13.935,"21 km WNW of Port-Vila, Vanuatu",5.2,46.776,168.1182,-17.6913,leve
2024-12-17 09:22:31.550,northern East Pacific Rise,5.3,10.0,-103.1132,8.3722,leve
2024-12-17 07:37:38.870,"15 km SSE of Candoni, Philippines",5.1,35.0,122.6582,9.6861,leve
2024-12-17 07:17:51.828,South Sandwich Islands region,5.3,10.0,-28.624,-60.3561,leve
2024-12-17 05:05:55.488,central Mid-Atlantic Ridge,5.3,10.0,-29.1417,0.9225,leve
2024-12-17 04:18:41.361,"36 km WSW of Port-Vila, Vanuatu",5.4,30.324,168.0086,-17.8874,leve
2024-12-17 04:09:33.867,"20 km S of Makurazaki, Japan",5.4,162.337,130.3315,31.0848,leve
2024-12-17 03:48:17.059,"42 km SW of Port-Vila, Vanuatu",5.0,42.546,168.0051,-17.9808,leve
2024-12-17 03:37:43.306,"40 km WSW of Port-Vila, Vanuatu",5.0,47.879,167.9486,-17.8564,leve
2024-12-17 01:53:13.001,"31 km W of Port-Vila, Vanuatu",5.3,49.188,168.0123,-17.7504,leve
2024-12-17 01:47:25.741,"24 km WNW of Port-Vila, Vanuatu",7.3,54.372,168.0842,-17.6914,forte
2024-12-16 14:07:48.936,"88 km ESE of Yigo Village, Guam",5.0,19.076,145.6385,13.211,leve
2024-12-16 10:14:44.155,"68 km SE of Amahai, Indonesia",5.5,24.808,129.3035,-3.8297,leve
2024-12-16 03:50:05.045,"67 km WSW of Padang, Indonesia",5.1,57.78,99.8064,-1.2187,leve
2024-12-16 01:20:36.082,Pacific-Antarctic Ridge,5.1,10.0,-161.8819,-62.4933,leve
2024-12-16 00:09:46.958,"17 km ENE of Sidi Akkacha, Algeria",5.0,9.304,1.4923,36.5002,leve
2024-12-15 21:42:38.965,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",5.1,39.447,160.2654,52.864,leve
2024-12-15 21:12:19.706,southern Mid-Atlantic Ridge,5.0,10.0,-13.263,-47.2108,leve
2024-12-15 15:03:39.717,"135 km W of Neiafu, Tonga",5.9,232.0,-175.265,-18.7256,leve
2024-12-15 09:58:33.437,"37 km SW of Santiago Tepextla, Mexico",5.0,10.0,-98.6778,16.0802,leve
2024-12-15 07:21:59.240,"77 km WNW of Petrolia, CA",5.25,10.0,-125.183666666667,40.4141666666667,leve
2024-12-15 01:33:55.296,"44 km ESE of Gizo, Solomon Islands",5.1,10.0,157.1814,-8.3288,leve
2024-12-15 00:07:53.316,Mid-Indian Ridge,5.1,10.0,67.0775,-9.3134,leve
2024-12-14 17:38:15.481,"127 km NW of Ternate, Indonesia",5.2,36.664,126.5578,1.5829,leve
2024-12-14 10:20:26.865,"43 km ENE of Wainui, New Zealand",5.2,10.0,178.5483,-38.574,leve
2024-12-14 03:00:47.468,South Sandwich Islands region,5.3,10.0,-28.8822,-60.3888,leve
2024-12-13 23:38:18.234,"56 km ESE of Molina, Chile",6.4,109.0,-70.7256,-35.33,forte
2024-12-13 06:56:17.781,"114 km SSW of Adak, Alaska",5.0,10.0,-176.9958,50.8662,leve
2024-12-12 19:55:19.950,"Izu Islands, Japan region",5.1,10.0,141.8867,30.5343,leve
2024-12-12 19:46:40.152,"136 km SSE of Lata, Solomon Islands",5.2,10.0,166.0867,-11.9257,leve
2024-12-12 19:37:09.077,"148 km SSE of Lata, Solomon Islands",5.3,10.0,166.179,-12.0104,leve
2024-12-12 17:29:51.136,"147 km SSE of Lata, Solomon Islands",5.2,10.0,166.116,-12.021,leve
2024-12-12 01:51:35.405,"82 km SSW of Leava, Wallis and Futuna",5.5,10.0,-178.4335,-14.987,leve
2024-12-11 20:57:12.773,"Kermadec Islands, New Zealand",5.1,49.38,-178.2075,-30.5243,leve
2024-12-11 16:43:59.405,"149 km SSE of Lata, Solomon Islands",5.4,10.0,166.1557,-12.0283,leve
2024-12-11 10:23:35.347,"70 km WSW of Pagar Alam, Indonesia",5.1,68.478,102.6968,-4.3369,leve
2024-12-10 18:04:34.105,"96 km SSW of Adak, Alaska",5.9,20.0,-177.2531,51.0964,leve
2024-12-10 07:50:56.059,Southwest Indian Ridge,5.3,10.0,53.4047,-35.9913,leve
2024-12-10 03:44:14.892,"115 km SSW of Adak, Alaska",5.1,10.0,-177.3197,50.9314,leve
2024-12-09 23:08:31.577,"2024 Parker Butte, Nevada Earthquake",5.7,9.3,-119.0238,39.1675,leve
2024-12-09 17:34:04.969,"97 km SE of False Pass, Alaska",5.0,35.0,-162.4476,54.177,leve
2024-12-09 17:25:21.272,Mid-Indian Ridge,5.6,10.0,66.8004,-9.106,leve
2024-12-09 16:48:11.292,"115 km SSW of Adak, Alaska",5.3,14.578,-177.5184,50.9904,leve
2024-12-09 16:31:44.297,"118 km SW of Adak, Alaska",5.7,17.0,-177.6184,51.0055,leve
2024-12-09 14:00:09.873,southern East Pacific Rise,5.0,10.0,-106.2072,-35.5103,leve
2024-12-09 08:21:04.403,"200 km SW of Bandar Lampung, Indonesia",5.1,35.0,103.9098,-6.6387,leve
2024-12-09 05:56:47.360,"128 km SSW of Adak, Alaska",5.1,10.0,-177.408,50.8208,leve
2024-12-09 03:50:29.291,"2 km SSE of Conchagua, El Salvador",5.6,10.0,-87.8532,13.2899,leve
2024-12-09 03:38:12.366,"132 km SSW of Adak, Alaska",5.1,10.0,-177.4463,50.7985,leve
2024-12-09 03:31:56.395,"135 km SSW of Adak, Alaska",5.6,10.0,-177.5273,50.7926,leve
2024-12-09 03:30:23.183,"134 km SSW of Adak, Alaska",5.2,10.0,-177.4811,50.7894,leve
2024-12-09 03:26:40.907,"123 km SSW of Adak, Alaska",5.7,20.0,-177.5413,50.9203,leve
2024-12-09 00:39:50.242,"132 km SSW of Adak, Alaska",5.5,10.0,-177.0971,50.7143,leve
2024-12-09 00:38:52.848,"126 km SSW of Adak, Alaska",6.1,10.0,-177.443,50.8586,forte
2024-12-09 00:30:38.526,"122 km SSW of Adak, Alaska",5.2,10.0,-177.2197,50.8375,leve
2024-12-09 00:22:08.228,"121 km SSW of Adak, Alaska",5.2,10.0,-177.0911,50.8216,leve
2024-12-09 00:21:51.775,"124 km SSW of Adak, Alaska",5.0,10.0,-177.1953,50.8157,leve
2024-12-09 00:15:30.691,"104 km SSW of Adak, Alaska",6.3,19.0,-177.1779,50.9985,forte
2024-12-08 21:02:49.063,"124 km SSW of Adak, Alaska",5.8,10.0,-177.2981,50.8303,leve
2024-12-08 20:39:20.454,"98 km SSW of Adak, Alaska",5.4,10.0,-177.2241,51.0688,leve
2024-12-08 20:27:27.630,central East Pacific Rise,5.1,10.0,-109.7729,-9.1484,leve
2024-12-08 19:57:08.602,"108 km SSW of Adak, Alaska",6.3,18.0,-177.3278,51.0018,forte
2024-12-08 18:07:49.830,central East Pacific Rise,5.6,10.0,-109.9235,-9.3184,leve
2024-12-08 16:41:20.301,central East Pacific Rise,5.5,10.0,-109.3827,-8.8293,leve
2024-12-08 16:26:06.296,central East Pacific Rise,5.3,10.0,-109.5871,-8.9965,leve
2024-12-08 10:25:00.081,Kuril Islands,6.0,207.0,152.3071,48.867,forte
2024-12-08 02:44:29.538,"125 km WNW of Ternate, Indonesia",5.0,36.878,126.3376,1.2221,leve
2024-12-08 01:49:44.842,"110 km WNW of Höfn, Iceland",5.1,10.0,-17.3171,64.6401,leve
2024-12-07 23:25:12.596,"150 km ENE of ‘Ohonua, Tonga",5.4,10.0,-173.558,-20.9885,leve
2024-12-07 17:31:59.483,southern Mid-Atlantic Ridge,5.9,10.0,-16.7546,-40.3557,leve
2024-12-07 09:41:25.968,"165 km W of Sanana, Indonesia",5.1,10.0,124.4895,-2.1059,leve
2024-12-07 06:26:27.323,"42 km WSW of Carahue, Chile",5.3,36.959,-73.5759,-38.9157,leve
2024-12-07 02:17:11.159,West Chile Rise,5.4,10.0,-96.1882,-36.8307,leve
2024-12-06 17:15:00.515,"235 km WNW of Gorontalo, Indonesia",5.5,32.854,121.1742,1.5039,leve
2024-12-06 10:28:40.561,"14 km NW of Fangale’ounga, Tonga",5.1,62.253,-174.4239,-19.665,leve
2024-12-05 21:56:40.216,"127 km ESE of Neiafu, Tonga",5.0,10.0,-172.8301,-18.9934,leve
2024-12-05 19:41:07.777,central East Pacific Rise,5.1,10.0,-104.4525,-4.1747,leve
2024-12-05 18:44:21.110,"2024 Offshore Cape Mendocino, California Earthquake",7.0,10.0,-125.021666666667,40.374,forte
2024-12-05 16:51:20.278,South Sandwich Islands region,5.1,111.734,-27.9128,-55.9482,leve
2024-12-05 13:39:52.236,"103 km NNW of San Antonio de los Cobres, Argentina",5.2,208.836,-66.702,-23.3549,leve
2024-12-05 11:48:03.206,"165 km SW of Nikolski, Alaska",5.6,38.284,-170.8903,52.1082,leve
2024-12-05 06:21:22.894,"8 km SSW of Sarai Alamgir, Pakistan",5.2,10.0,73.7141,32.8339,leve
2024-12-05 05:38:47.481,"23 km ESE of Masjed Soleymān, Iran",5.0,10.0,49.5366,31.8637,leve
2024-12-05 04:02:40.681,"31 km SE of Masjed Soleymān, Iran",5.4,17.0,49.569,31.7601,leve
2024-12-04 16:53:01.908,"146 km SSE of Itoman, Japan",5.0,10.0,128.0555,24.8543,leve
2024-12-04 07:11:47.482,West Chile Rise,5.3,10.0,-81.8305,-43.8524,leve
2024-12-04 01:56:58.775,"49 km NE of Mulugu, India",5.0,10.0,80.3296,18.4471,leve
2024-12-04 00:09:30.407,"90 km SSE of Yonakuni, Japan",5.0,10.0,123.2599,23.6859,leve
2024-12-03 18:54:41.788,"5 km SE of Bangui, Philippines",5.7,34.0,120.7963,18.5003,leve
2024-12-03 16:57:07.550,"148 km SE of Mil’kovo, Russia",5.0,65.559,160.4762,53.9198,leve
2024-12-03 16:09:11.776,"122 km ESE of Sarangani, Philippines",5.1,14.196,126.4225,4.8557,leve
2024-12-03 08:06:04.775,Fiji region,5.4,583.787,-178.8369,-21.1248,leve
2024-12-03 07:29:29.685,southeast Indian Ridge,5.1,10.0,85.6711,-41.1787,leve
2024-12-02 15:11:52.922,southeast Indian Ridge,5.0,10.0,106.5354,-48.7259,leve
2024-12-02 01:01:11.804,"223 km ESE of Yigo Village, Guam",5.0,10.0,146.9085,13.1373,leve
2024-12-01 06:12:22.543,Mid-Indian Ridge,5.0,10.0,78.3733,-35.6747,leve
2024-11-30 15:08:50.569,Revilla Gigedo Islands region,5.4,10.0,-108.5141,19.3496,leve
2024-11-30 13:15:40.557,south of the Fiji Islands,5.1,531.352,179.7868,-24.0403,leve
2024-11-30 10:33:40.240,"253 km N of Saipan, Northern Mariana Islands",5.1,198.532,145.8664,17.5037,leve
2024-11-30 09:07:01.883,"80 km SSE of Yonakuni, Japan",5.2,19.908,123.383,23.8314,leve
2024-11-30 08:46:16.409,"91 km NE of Hirara, Japan",5.7,49.015,126.0218,25.3021,leve
2024-11-30 00:36:00.326,"227 km WSW of Santiago de Cao, Peru",5.2,10.0,-81.0822,-8.8882,leve
2024-11-28 18:41:42.973,Kermadec Islands region,5.0,35.0,-176.9352,-28.9149,leve
2024-11-28 15:40:55.370,Mid-Indian Ridge,5.0,10.0,67.89,-20.3197,leve
2024-11-27 22:03:56.840,"119 km E of Hicks Bay, New Zealand",5.8,19.0,179.6542,-37.6381,leve
2024-11-27 21:58:45.297,"1 km NNE of Concepcion, Philippines",5.7,182.0,120.8046,15.4608,leve
2024-11-27 20:34:40.038,"109 km SSW of Tsengel, Mongolia",5.0,10.0,100.2142,48.5992,leve
2024-11-27 18:06:50.098,west of Macquarie Island,5.0,10.0,149.2152,-59.2025,leve
2024-11-27 08:59:03.951,"49 km ENE of Bacolod, Philippines",5.0,6.194,126.6882,9.1414,leve
2024-11-26 21:01:48.220,"159 km SSW of Severo-Kuril’sk, Russia",5.4,51.585,155.4628,49.307,leve
2024-11-26 13:47:03.411,"38 km WNW of Hakui, Japan",6.1,8.0,136.3653,36.9549,forte
2024-11-26 12:33:09.423,"21 km NW of Ovalle, Chile",5.1,47.097,-71.3521,-30.4554,leve
2024-11-26 07:55:04.469,"63 km NE of Masohi, Indonesia",5.0,10.0,129.3838,-2.903,leve
2024-11-26 04:31:21.640,"52 km SE of Ōfunato, Japan",5.3,44.201,142.1147,38.7149,leve
2024-11-25 15:37:42.187,"Izu Islands, Japan region",5.0,94.022,140.7624,29.2609,leve
2024-11-24 07:58:36.433,"1 km NNE of Mbamba Bay, Tanzania",5.0,10.0,34.7704,-11.2689,leve
2024-11-23 23:55:54.209,Macquarie Island region,5.1,10.0,158.4021,-55.584,leve
2024-11-23 19:04:30.553,"230 km E of Levuka, Fiji",5.9,587.878,-178.5153,-17.8504,leve
2024-11-23 14:43:18.846,"19 km NE of Ambunti, Papua New Guinea",5.0,89.517,142.954,-4.1071,leve
2024-11-23 10:47:50.678,"189 km WSW of Lorengau, Papua New Guinea",5.1,10.0,145.7523,-2.8084,leve
2024-11-23 10:25:35.232,"195 km WSW of Lorengau, Papua New Guinea",5.1,10.0,145.7214,-2.8697,leve
2024-11-22 11:25:19.848,southwest of Africa,5.0,10.0,19.6854,-53.0712,leve
2024-11-22 07:51:05.718,"98 km NNE of Tobelo, Indonesia",5.1,68.892,128.2336,2.5891,leve
2024-11-21 15:39:48.401,"176 km SSW of Merizo Village, Guam",5.0,10.0,144.3333,11.7017,leve
2024-11-21 12:12:53.535,"188 km W of Abepura, Indonesia",5.2,35.773,138.9634,-2.32,leve
2024-11-21 04:59:15.218,"7 km E of Borāzjān, Iran",5.0,10.0,51.2977,29.2777,leve
2024-11-20 18:44:13.288,"148 km SSW of Hihifo, Tonga",5.1,169.488,-174.4037,-17.1616,leve
2024-11-20 15:09:04.939,"21 km ESE of Vostok, Russia",5.1,437.348,136.0994,46.4137,leve
2024-11-20 14:55:42.678,"Pagan region, Northern Mariana Islands",5.0,289.199,145.4512,18.1848,leve
2024-11-20 14:43:51.351,Greenland Sea,5.7,2.408,1.618,79.8553,leve
2024-11-20 10:42:56.316,"118 km WNW of Houma, Tonga",5.5,212.565,-176.3434,-20.7318,leve
2024-11-20 09:26:28.745,"148 km S of Lata, Solomon Islands",5.3,10.0,165.7646,-12.0635,leve
2024-11-19 18:36:11.645,"59 km S of Ōyama, Japan",5.0,249.022,138.3387,34.0768,leve
2024-11-19 08:34:02.404,"23 km S of Pondaguitan, Philippines",5.1,105.102,126.1658,6.1462,leve
2024-11-19 02:41:52.175,"48 km WNW of Houma, Tonga",5.6,8.0,-175.7525,-21.0456,leve
2024-11-18 03:35:34.227,"37 km N of Basco, Philippines",5.1,18.497,121.9014,20.7794,leve
2024-11-18 02:18:49.956,"150 km E of Saipan, Northern Mariana Islands",5.1,10.0,147.1498,15.097,leve
2024-11-18 00:00:45.051,southern Mid-Atlantic Ridge,5.0,10.0,-14.5935,-12.7093,leve
2024-11-17 23:16:14.225,southern Mid-Atlantic Ridge,5.0,10.0,-14.711,-12.7831,leve
2024-11-17 23:05:54.744,southern Mid-Atlantic Ridge,5.1,10.0,-14.9719,-12.8337,leve
2024-11-17 18:55:36.976,"124 km ESE of Kokopo, Papua New Guinea",5.1,63.576,153.2955,-4.7992,leve
2024-11-17 12:16:29.874,"156 km SSE of Koshima, Japan",6.1,8.0,131.3968,29.0424,forte
2024-11-16 13:47:35.807,"84 km E of Petropavlovsk-Kamchatsky, Russia",5.0,56.37,159.8822,53.1113,leve
2024-11-16 12:22:17.410,"14 km NNE of Hiranai, Japan",5.0,9.94,141.0132,41.0392,leve
2024-11-16 08:22:26.471,"184 km SSE of Lata, Solomon Islands",5.4,119.062,166.651,-12.1604,leve
2024-11-16 02:17:09.831,southern Mid-Atlantic Ridge,5.1,10.0,-13.402,-15.2575,leve
2024-11-15 21:11:49.989,"36 km ENE of Codrington, Antigua and Barbuda",5.0,28.025,-61.5099,17.7746,leve
2024-11-15 11:38:17.024,southeast of the Loyalty Islands,5.0,10.0,170.5049,-23.4723,leve
2024-11-15 10:41:07.227,Balleny Islands region,5.5,10.0,153.9957,-61.2858,leve
2024-11-15 08:41:47.013,"133 km SE of Neiafu, Tonga",5.4,10.0,-172.9908,-19.3958,leve
2024-11-15 05:28:30.650,"122 km ESE of Kokopo, Papua New Guinea",6.6,56.0,153.2923,-4.7548,forte
2024-11-15 00:11:57.919,"117 km WSW of Adak, Alaska",5.1,51.802,-178.2559,51.5497,leve
2024-11-14 19:08:17.852,"118 km WSW of Bandar Lampung, Indonesia",5.1,92.099,104.3629,-6.0117,leve
2024-11-14 09:16:31.724,"2 km W of Cuajinicuilapa, Mexico",5.0,41.058,-98.4401,16.47,leve
2024-11-13 05:13:20.904,"37 km WSW of Ashkāsham, Afghanistan",5.0,231.72,71.1648,36.5137,leve
2024-11-13 01:29:31.195,South Sandwich Islands region,5.1,21.151,-24.8231,-58.7095,leve
2024-11-13 00:18:23.349,"8 km SSW of Santo Domingo Armenta, Mexico",5.0,13.807,-98.4105,16.2665,leve
2024-11-12 16:08:42.376,north of Ascension Island,5.4,10.0,-13.2522,-1.3352,leve
2024-11-12 14:31:59.248,"38 km SE of Kokopo, Papua New Guinea",5.3,87.552,152.4987,-4.6006,leve
2024-11-12 09:24:29.442,"140 km W of Ternate, Indonesia",5.2,34.193,126.1349,0.5861,leve
2024-11-11 13:35:31.309,Banda Sea,5.0,517.961,125.7974,-5.404,leve
2024-11-11 10:16:53.821,"Maug Islands region, Northern Mariana Islands",5.5,8.0,145.7964,20.1687,leve
2024-11-11 10:08:20.774,"103 km NW of Tual, Indonesia",5.0,22.782,132.1086,-4.957,leve
2024-11-11 07:14:57.140,"117 km E of ‘Ohonua, Tonga",5.0,10.0,-173.8299,-21.226,leve
2024-11-11 04:02:54.299,"100 km NNE of Hihifo, Tonga",5.0,10.0,-173.3653,-15.1467,leve
2024-11-10 22:35:13.094,"109 km NW of Tual, Indonesia",5.1,10.0,132.0487,-4.9353,leve
2024-11-10 21:29:00.217,"110 km NW of Tual, Indonesia",5.0,10.0,132.0496,-4.9172,leve
2024-11-10 16:49:50.426,"42 km SSW of Bartolomé Masó, Cuba",6.8,14.0,-77.0506,19.7974,forte
2024-11-10 15:50:03.006,"38 km S of Bartolomé Masó, Cuba",5.9,19.0,-76.9792,19.8238,leve
2024-11-10 15:46:58.318,"Kermadec Islands, New Zealand",5.1,35.0,-177.747,-30.4397,leve
2024-11-10 09:43:22.826,Fiji region,5.0,583.497,-178.5362,-20.7394,leve
2024-11-09 20:37:50.966,"174 km WSW of Bayanhongor, Mongolia",5.0,10.0,98.832,45.3508,leve
2024-11-09 19:30:18.781,"77 km SE of Burica, Panama",5.8,10.0,-82.3895,7.5218,leve
2024-11-09 13:45:33.039,southern Mid-Atlantic Ridge,5.1,10.0,-13.8406,-25.7465,leve
2024-11-09 10:03:40.690,"79 km SE of Burica, Panama",5.6,10.0,-82.3993,7.4901,leve
2024-11-09 05:00:39.995,"Izu Islands, Japan region",5.0,10.0,142.4167,32.3106,leve
2024-11-08 23:26:35.662,"Volcano Islands, Japan region",5.0,17.984,142.8157,25.4584,leve
2024-11-08 14:04:01.624,"21 km SSW of Kovancılar, Turkey",5.1,10.0,39.7334,38.5535,leve
2024-11-08 11:38:00.376,"239 km WNW of Cochrane, Chile",6.3,10.0,-75.6402,-46.7807,forte
2024-11-08 10:37:42.623,"58 km E of Puyo, Ecuador",5.1,190.812,-77.4738,-1.4492,leve
2024-11-08 02:53:22.982,West Chile Rise,5.0,10.0,-84.7884,-41.4646,leve
2024-11-07 19:53:54.072,"Volcano Islands, Japan region",5.1,10.0,142.847,25.4503,leve
2024-11-07 16:42:05.663,"143 km WNW of Panguna, Papua New Guinea",5.2,97.133,154.3528,-5.6899,leve
2024-11-07 09:00:06.910,South Sandwich Islands region,5.0,119.198,-27.4481,-56.2193,leve
2024-11-07 04:31:33.207,Mid-Indian Ridge,5.4,10.0,74.8589,-42.2511,leve
2024-11-07 02:12:33.993,"Volcano Islands, Japan region",5.0,10.0,142.8164,25.4531,leve
2024-11-07 01:55:31.511,"Kermadec Islands, New Zealand",5.0,10.0,-177.1665,-30.3414,leve
2024-11-07 01:11:47.302,"Volcano Islands, Japan region",5.2,10.0,142.7925,25.4937,leve
2024-11-06 22:59:15.938,"Volcano Islands, Japan region",5.1,10.0,142.6759,25.3721,leve
2024-11-06 22:59:01.090,"Volcano Islands, Japan region",5.1,10.0,143.156,25.4025,leve
2024-11-06 22:55:03.607,"Volcano Islands, Japan region",5.8,8.0,142.8586,25.4039,leve
2024-11-06 17:19:38.479,"52 km S of Hualien City, Taiwan",5.0,25.833,121.6598,23.5101,leve
2024-11-06 15:55:08.907,"295 km E of Levuka, Fiji",5.9,435.632,-177.8948,-18.1047,leve
2024-11-06 15:38:47.678,Fiji region,5.2,587.521,-178.6489,-20.895,leve
2024-11-06 14:36:21.520,"124 km ESE of Kokopo, Papua New Guinea",5.9,35.0,153.3071,-4.7663,leve
2024-11-05 19:39:43.762,"18 km NNW of Santa Ana, Peru",5.7,106.0,-75.2219,-12.9033,leve
2024-11-05 16:54:43.527,western Indian-Antarctic Ridge,5.0,10.0,139.0678,-51.4933,leve
2024-11-05 10:06:03.806,"292 km E of Poronaysk, Russia",5.3,590.621,147.111,49.4545,leve
2024-11-05 03:14:06.554,"41 km NNW of Pizarro, Colombia",5.0,31.25,-77.462,5.3197,leve
2024-11-05 00:31:17.684,"50 km SE of Pangai, Tonga",5.0,44.145,-174.0652,-20.1847,leve
2024-11-03 17:03:52.253,"10 km SW of Néa Poteídaia, Greece",5.2,9.0,23.2456,40.1264,leve
2024-11-03 12:09:52.136,"Volcano Islands, Japan region",5.0,10.0,142.859,25.4139,leve
2024-11-03 10:56:48.615,"82 km ESE of Adak, Alaska",5.8,34.0,-175.6197,51.4799,leve
2024-11-03 04:04:04.506,"130 km NNE of Barrancas, Argentina",5.4,188.15,-69.4927,-35.6965,leve
2024-11-02 19:59:14.759,"61 km WSW of Jiquilillo, Nicaragua",5.1,64.288,-87.9765,12.5321,leve
2024-11-02 05:03:54.734,"227 km E of Levuka, Fiji",5.4,571.981,-178.5435,-17.9427,leve
